...1,file,speaker,language,duration,segment,word,f1,f2,f3,previous_sound,next_sound,percent,IsApproximant,IsAcoustic,gender,omit,position
1,EN_5jzj2h_lamb015_L,5jzj2h,English,0.102,L,lamb,453,785,2105,-,AE1,50,yes,yes,Male,0,initial
2,EN_5jzj2h_lamb046_L,5jzj2h,English,0.1,L,lamb,444,835,2220,-,AE1,50,yes,yes,Male,0,initial
3,EN_5jzj2h_lamb077_L,5jzj2h,English,0.062,L,lamb,455,812,2177,-,AE1,50,yes,yes,Male,0,initial
4,EN_5jzj2h_lamb108_L,5jzj2h,English,0.068,L,lamb,344,871,2279,-,AE1,50,yes,yes,Male,0,initial
5,EN_5jzj2h_lamb139_L,5jzj2h,English,0.096,L,lamb,412,763,2370,-,AE1,50,yes,yes,Male,0,initial
6,EN_5jzj2h_lamp033_L,5jzj2h,English,0.114,L,lamp,459,801,2170,-,AE1,50,yes,yes,Male,0,initial
7,EN_5jzj2h_lamp064_L,5jzj2h,English,0.098,L,lamp,440,794,2180,-,AE1,50,yes,yes,Male,0,initial
8,EN_5jzj2h_lamp095_L,5jzj2h,English,0.11,L,lamp,436,872,2120,-,AE1,50,yes,yes,Male,0,initial
9,EN_5jzj2h_lamp126_L,5jzj2h,English,0.102,L,lamp,480,848,2857,-,AE1,50,yes,yes,Male,0,initial
10,EN_5jzj2h_lamp157_L,5jzj2h,English,0.09,L,lamp,590,1024,2114,-,AE1,50,yes,yes,Male,0,initial
11,EN_5jzj2h_lap012_L,5jzj2h,English,0.094,L,lap,455,809,2873,-,AE1,50,yes,yes,Male,0,initial
12,EN_5jzj2h_lap043_L,5jzj2h,English,0.09,L,lap,408,911,2176,-,AE1,50,yes,yes,Male,0,initial
13,EN_5jzj2h_lap074_L,5jzj2h,English,0.032,L,lap,592,1083,2598,-,AE1,50,yes,yes,Male,0,initial
14,EN_5jzj2h_lap105_L,5jzj2h,English,0.036,L,lap,645,1113,2449,-,AE1,50,yes,yes,Male,0,initial
15,EN_5jzj2h_lap136_L,5jzj2h,English,0.072,L,lap,461,741,2124,-,AE1,50,yes,yes,Male,0,initial
16,EN_5jzj2h_leaf044_L,5jzj2h,English,0.04,L,leaf,321,1003,2350,-,IY1,50,yes,yes,Male,0,initial
17,EN_5jzj2h_leaf075_L,5jzj2h,English,0.076,L,leaf,311,1150,2299,-,IY1,50,yes,yes,Male,0,initial
18,EN_5jzj2h_leaf106_L,5jzj2h,English,0.048,L,leaf,302,1605,2053,-,IY1,50,yes,yes,Male,0,initial
19,EN_5jzj2h_leaf137_L,5jzj2h,English,0.078,L,leaf,327,1001,2175,-,IY1,50,yes,yes,Male,0,initial
20,EN_5jzj2h_leap031_L,5jzj2h,English,0.096,L,leap,292,974,2245,-,IY1,50,yes,yes,Male,0,initial
21,EN_5jzj2h_leap062_L,5jzj2h,English,0.034,L,leap,325,1097,2128,-,IY1,50,yes,yes,Male,0,initial
22,EN_5jzj2h_leap124_L,5jzj2h,English,0.09,L,leap,316,949,2076,-,IY1,50,yes,yes,Male,0,initial
23,EN_5jzj2h_leap155_L,5jzj2h,English,0.076,L,leap,230,981,1674,-,IY1,50,yes,yes,Male,0,initial
24,EN_5jzj2h_leave014_L,5jzj2h,English,0.074,L,leave,224,1050,2065,-,IY1,50,yes,yes,Male,0,initial
25,EN_5jzj2h_leave045_L,5jzj2h,English,0.042,L,leave,357,1082,2185,-,IY1,50,yes,yes,Male,0,initial
26,EN_5jzj2h_leave076_L,5jzj2h,English,0.044,L,leave,355,1222,2332,-,IY1,50,yes,yes,Male,0,initial
27,EN_5jzj2h_leave107_L,5jzj2h,English,0.084,L,leave,331,837,2223,-,IY1,50,yes,yes,Male,0,initial
28,EN_5jzj2h_leave138_L,5jzj2h,English,0.078,L,leave,270,913,2197,-,IY1,50,yes,yes,Male,0,initial
29,EN_5jzj2h_loom008_L,5jzj2h,English,0.112,L,loom,319,1031,2263,-,UW1,50,yes,yes,Male,0,initial
30,EN_5jzj2h_loom039_L,5jzj2h,English,0.032,L,loom,344,1030,2192,-,UW1,50,yes,yes,Male,0,initial
31,EN_5jzj2h_loom070_L,5jzj2h,English,0.05,L,loom,387,1397,2393,-,UW1,50,yes,yes,Male,0,initial
32,EN_5jzj2h_loom101_L,5jzj2h,English,0.098,L,loom,310,941,2176,-,UW1,50,yes,yes,Male,0,initial
33,EN_5jzj2h_loom132_L,5jzj2h,English,0.086,L,loom,346,944,1990,-,UW1,50,yes,yes,Male,0,initial
34,EN_5jzj2h_loom163_L,5jzj2h,English,0.112,L,loom,356,999,2218,-,UW1,50,yes,yes,Male,0,initial
35,EN_5jzj2h_lube025_L,5jzj2h,English,0.094,L,lube,343,1141,2174,-,UW1,50,yes,yes,Male,0,initial
36,EN_5jzj2h_lube056_L,5jzj2h,English,0.046,L,lube,330,936,2114,-,UW1,50,yes,yes,Male,0,initial
37,EN_5jzj2h_lube118_L,5jzj2h,English,0.066,L,lube,327,1148,2202,-,UW1,50,yes,yes,Male,0,initial
38,EN_5jzj2h_lube149_L,5jzj2h,English,0.128,L,lube,327,1042,2129,-,UW1,50,yes,yes,Male,0,initial
39,EN_5jzj2h_ram026_R,5jzj2h,English,0.082,R,ram,467,948,1182,-,AE1,50,yes,yes,Male,0,initial
40,EN_5jzj2h_ram057_R,5jzj2h,English,0.084,R,ram,453,1065,1316,-,AE1,50,yes,yes,Male,0,initial
41,EN_5jzj2h_ramp058_R,5jzj2h,English,0.036,R,ramp,453,986,1230,-,AE1,50,yes,yes,Male,0,initial
